,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
4816,148659,6.69,14.19,-0.8,-11.99,24.87,PGIM India Balanced Advantage Fund - Direct Plan - Dividend Option,10.58815696497518
4817,148660,5.7,12.86,-1.31,-11.39,23.58,PGIM India Balanced Advantage Fund - Regular Plan - Dividend Option,9.863653236321765
4818,148661,17.92,36.5,1.68,-18.2,68.41,Kotak NASDAQ 100 Fund of Fund - Regular Plan - Growth,21.72921026593568
4819,148662,18.63,37.4,2.13,-17.41,69.2,Kotak NASDAQ 100 Fund of Fund - Direct Plan - Growth,21.729400851041508
4820,148663,19.98,26.94,12.99,4.19,37.83,Nippon India Asset Allocator FoF - Regular Plan - Growth Option,8.517725731532728
4821,148664,20.71,27.77,13.89,4.6,38.48,NIPPON INDIA ASSET ALLOCATOR FOF - DIRECT Plan - IDCW Option,8.516564002030545
4822,148665,19.93,27.11,13.27,3.54,37.8,Nippon India Asset Allocator FoF - Regular Plan - Dividend Option,8.517718640930699
4823,148666,21.24,28.42,14.06,4.21,38.88,Nippon India Asset Allocator FoF - Direct Plan - Growth Option,8.51656693558907
4824,148667,4.81,5.54,4.04,2.78,6.5,TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1.083312395267495
4825,148668,2.91,4.11,1.64,-0.42,5.75,TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY DIVIDEND PAYOUT OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1.8347148061404694
4826,148669,2.9,5.3,0.79,-3.52,6.75,TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,3.1482476541511337
4827,148670,3.43,4.67,2.14,0.06,6.24,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY DIVIDEND REINVESTMENT,1.8216422583793332
4828,148672,3.57,5.9,1.46,-2.57,7.4,TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,3.1160206829040793
